,StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
34,904105,27,20000543,1,2022,Dwight Howard,LAL,C,28,20000027,2022-06-20T23:13:41,60,389.2,401,0,55.2,90.2,25.2,26.0,51.9,84.0,25.5,1.4,2.5,22.0,39.6,60.2,27.1,48.6,98.1,146.7,2.2,10.8,3.3,14.4,14.0,14.8,19.4,47.4,153.3,116.7,27.1,3.5,0.9,0.30000000000000004,0.6000000000000001,2.4,2.5,418.1,411.0,418.1,-50.7,0.8,0.0,411.0,False,,Scrambled
35,904074,7,20000544,1,2022,James Harden,PHI,SG,65,20000007,2022-06-20T23:13:41,65,1228.8,997,16,167.7,408.7,16.9,20.0,106.7,224.1,19.6,61.0,184.6,13.6,193.6,220.8,36.1,22.7,183.3,206.0,0.4,3.4,2.0,274.8,33.4,14.8,117.0,63.0,590.0,505.9,24.0,10.2,17.5,0.30000000000000004,0.2,3.2,11.6,1277.0,1360.8,1277.0,71.3,17.3,1.9,1360.8,False,,Scrambled
36,905738,3,20000549,1,2022,Clint Capela,ATL,C,73,20000003,2022-06-20T23:13:41,74,932.1,840,2,152.4,248.8,25.3,25.3,152.4,248.4,25.3,0.0,0.2,0.0,33.0,69.6,19.5,114.9,246.4,361.3,2.6,13.1,4.0,37.9,22.7,38.3,18.1,68.4,337.8,279.5,24.9,4.1,1.1,0.2,0.7000000000000001,1.0,2.6,993.1,980.9,993.1,51.5,14.4,0.0,980.9,False,,Scrambled
37,904961,16,20000554,1,2022,Patrick Beverley,MIN,PG,54,20000016,2022-06-20T23:13:41,58,571.9,607,19,72.9,179.6,16.7,20.6,38.7,79.9,20.0,34.2,99.7,14.1,39.6,54.8,29.7,25.5,73.3,98.9,0.7000000000000001,2.2,1.5,110.4,27.6,21.4,30.1,71.7,219.6,203.7,22.2,3.0,10.1,0.4,0.6000000000000001,2.2,2.7,620.9,610.2,620.9,46.1,0.30000000000000004,0.0,610.2,False,,Scrambled
38,904092,27,20000559,1,2022,Avery Bradley,LAL,SG,45,20000027,2022-06-20T23:13:41,62,294.0,579,21,61.0,144.2,17.4,22.2,27.2,57.7,19.4,33.8,86.5,16.1,2.7,3.1,36.6,12.8,43.3,56.0,0.4,1.4,0.9,19.4,21.8,1.5,15.7,48.6,162.3,147.5,22.7,1.6,0.8,0.30000000000000004,0.1,1.6,2.1,319.6,321.6,319.6,-74.6,0.0,0.0,321.6,False,,Scrambled
39,905083,9,20000560,1,2022,Marcus Smart,BOS,PG,71,20000009,2022-06-20T23:13:41,71,791.8,946,22,123.6,295.4,17.2,20.7,74.6,147.1,20.9,49.0,148.3,13.6,58.5,73.7,32.7,16.9,93.9,110.8,0.30000000000000004,1.8,1.1,171.4,49.0,3.1,65.9,65.9,354.7,327.9,22.3,2.7,10.5,0.4,0.1,2.8,3.1,848.2,856.0,848.2,182.1,0.30000000000000004,0.0,856.0,False,,Scrambled
40,934321,2,20000561,1,2022,Isaiah Thomas,CHA,PG,1,20000002,2022-06-20T23:13:41,22,114.5,137,19,27.6,68.8,16.5,20.0,16.1,35.0,18.9,11.5,33.8,14.0,3.7,10.7,34.9,0.7000000000000001,10.3,11.9,0.2,1.4,0.8,14.0,1.2,0.8,2.7,14.0,75.8,73.5,21.2,2.6,2.5,0.2,0.2,1.4,10.3,119.4,124.1,119.4,-4.1,0.0,0.0,124.1,False,,Scrambled
41,904857,29,20000562,1,2022,Jae Crowder,PHO,PF,67,20000029,2022-06-20T23:13:41,67,592.4,777,16,89.4,224.1,16.4,21.2,37.1,73.7,20.7,52.3,150.4,14.3,29.3,37.1,32.5,12.4,133.5,145.8,0.30000000000000004,3.0,1.7000000000000002,51.1,39.1,12.4,22.7,71.3,260.4,240.4,22.3,2.3,1.4,0.4,0.2,1.5,2.5,643.9,637.8,643.9,162.7,0.2,0.0,637.8,False,,Scrambled
42,904787,14,20000564,1,2022,Kelly Olynyk,DET,C,1,20000014,2022-06-20T23:13:41,41,323.8,314,21,52.7,117.8,18.5,21.3,36.3,68.8,21.7,16.5,49.0,13.8,28.4,36.7,31.9,22.2,50.7,72.9,1.2,3.1,2.1,45.7,12.8,3.2,23.9,41.2,150.4,134.0,23.2,3.3,4.0,0.30000000000000004,0.4,2.6,3.7,344.4,348.2,344.4,-28.8,0.2,0.0,348.2,False,,Scrambled
43,904080,27,20000571,1,2022,LeBron James,LAL,SF,56,20000027,2022-06-20T23:13:41,56,1169.0,859,3,263.7,503.1,21.6,24.3,197.3,318.5,25.5,66.3,184.6,14.8,104.6,138.4,31.1,26.0,163.2,189.1,0.6000000000000001,3.5,2.0,143.8,30.1,24.3,80.8,49.9,698.3,564.0,25.5,12.8,12.6,0.30000000000000004,0.4,2.1,13.4,1223.4,1268.7,1223.4,-48.2,3.6,1.0,1268.7,False,,Scrambled
